,state,name,FIPS,pop2010,age_under_5,age_under_18,age_over_65,female,white,two_plus_races,hispanic,white_not_hispanic,no_move_in_one_plus_year,foreign_born,foreign_spoken_at_home,hs_grad,bachelors,veterans,mean_work_travel,housing_units,home_ownership,housing_multi_unit,median_val_owner_occupied,households,persons_per_household,per_capita_income,median_household_income,poverty,private_nonfarm_establishments,private_nonfarm_employment,building_permits,area,density,total_person
21,Alabama,Cullman County,1043,80406,6.1,23.2,15.9,50.6,94.7,1.1,4.3,92.7,85.3,2.6,4.2,76.9,13.8,6708,27.4,37054,74.7,8.5,102200.0,31263,2.51,20284,38567,16.7,1737,22761,24,734.84,109.4,78470.12999999999
22,Alabama,Dale County,1045,50251,7.3,24.8,13.5,50.6,74.1,3.0,5.6,71.1,76.5,3.6,6.2,82.2,17.5,7148,20.0,22677,61.2,13.2,93900.0,19545,2.49,21722,43353,14.8,844,13221,136,561.15,89.6,48667.05
23,Alabama,Dallas County,1047,43820,7.3,26.5,14.1,53.8,29.1,0.7,0.7,28.9,85.8,0.7,1.4,76.8,14.3,3384,24.7,20208,62.6,16.0,70300.0,16795,2.6,16646,26029,31.8,788,11745,36,978.7,44.8,43667.0
24,Alabama,DeKalb County,1049,71109,7.1,25.8,13.9,50.6,84.5,2.2,13.6,81.6,87.4,7.2,10.4,68.1,10.9,4514,23.1,31109,77.5,6.4,84400.0,25937,2.65,18152,35065,20.0,1127,17512,32,777.09,91.5,68733.05
25,Alabama,Elmore County,1051,79303,6.1,23.6,11.9,51.2,76.2,1.4,2.7,75.0,83.2,2.2,3.7,83.8,20.2,8363,27.5,32657,77.6,7.0,136500.0,27762,2.55,22640,53128,12.4,1143,14374,128,618.49,128.2,70793.09999999999
26,Alabama,Escambia County,1053,38319,6.2,22.6,15.2,48.4,62.1,1.5,1.9,61.3,88.4,1.1,1.6,73.0,10.9,3146,24.6,16486,73.5,7.8,83800.0,13804,2.51,16259,31927,24.4,802,9769,7,945.08,40.5,34648.03999999999
27,Alabama,Etowah County,1055,104430,5.9,23.0,15.8,51.5,80.3,1.5,3.3,79.3,83.4,2.3,3.0,81.2,15.8,9837,23.6,47454,73.0,11.9,98200.0,41584,2.46,20439,36422,16.8,2079,29773,105,534.99,195.2,102296.64
28,Alabama,Fayette County,1057,17241,5.8,22.3,17.9,50.7,86.5,1.0,1.2,86.0,87.2,0.5,1.4,74.7,9.5,1319,27.2,8437,76.0,7.9,71500.0,7164,2.39,17711,34560,17.9,328,3886,3,627.66,27.5,17121.96
29,Alabama,Franklin County,1059,31704,7.1,24.8,15.2,50.1,83.0,1.7,14.9,79.6,84.6,7.9,11.6,69.6,11.8,2059,24.4,14022,69.2,10.4,78200.0,12367,2.49,18094,33942,19.5,564,8984,12,633.82,50.0,30793.83
30,Alabama,Geneva County,1061,26790,5.9,22.4,17.4,51.1,86.3,1.6,3.4,84.7,84.5,1.6,3.0,72.3,8.0,2547,26.1,12687,71.6,6.6,77200.0,10720,2.44,18351,34140,16.3,437,4199,18,574.41,46.6,26156.8
31,Alabama,Greene County,1063,9045,6.1,24.3,16.1,52.8,17.4,0.5,0.8,17.3,88.4,0.9,1.3,72.6,9.9,460,25.1,5007,71.1,11.1,71500.0,3522,2.57,14738,22222,30.8,104,1430,3,647.11,14.0,9051.539999999999
32,Alabama,Hale County,1065,15760,6.1,24.8,15.0,52.6,39.8,0.6,0.9,39.4,88.7,0.9,1.8,69.9,10.0,1209,28.0,7655,74.3,6.1,70600.0,5843,2.76,16523,29299,24.6,201,2314,22,643.94,24.5,16126.679999999998
33,Alabama,Henry County,1067,17302,5.4,22.6,17.6,52.0,68.6,1.0,2.2,67.8,92.9,2.5,3.4,76.1,15.0,1548,23.3,8891,81.9,3.2,89700.0,6656,2.56,19716,38379,15.1,312,2722,42,561.75,30.8,17039.36
34,Alabama,Houston County,1069,101547,6.6,24.5,14.5,52.0,70.0,1.7,2.9,68.7,85.8,2.2,4.1,81.9,19.0,9168,19.7,45319,67.4,15.2,116300.0,38035,2.57,22725,41022,16.8,2823,43725,261,579.82,175.1,97749.95
35,Alabama,Jackson County,1071,53227,5.6,22.5,16.5,50.9,90.8,2.6,2.5,90.1,89.8,1.5,2.9,74.0,12.0,4165,26.2,24786,76.6,5.8,86300.0,21173,2.51,18905,36312,17.5,851,11137,18,1077.87,49.4,53144.229999999996
36,Alabama,Jefferson County,1073,658466,6.7,23.5,13.1,52.6,53.0,1.1,3.9,51.7,83.0,4.1,5.7,86.6,28.8,51882,23.3,300552,66.8,24.0,138300.0,260441,2.47,26529,45244,15.5,16789,325281,1277,1111.28,592.5,643289.27
37,Alabama,Lamar County,1075,14564,5.9,22.2,18.8,51.3,86.7,1.3,1.2,86.1,88.3,0.2,1.0,75.3,9.2,1264,25.5,7354,75.1,9.0,68200.0,5944,2.43,19789,33887,18.5,250,2875,1,604.85,24.1,14443.92
38,Alabama,Lauderdale County,1077,92709,5.6,21.6,16.8,52.1,86.4,1.4,2.2,85.5,84.9,1.8,2.8,82.9,21.5,8022,23.5,43791,73.0,14.7,107400.0,37713,2.38,22341,39345,17.7,2018,25727,144,667.7,138.8,89756.94
39,Alabama,Lawrence County,1079,34339,6.3,23.2,14.6,51.1,77.6,4.3,1.7,76.9,90.2,1.7,2.1,75.2,10.7,2299,26.1,15229,78.7,5.1,97600.0,13412,2.54,19370,40516,13.6,426,4748,0,690.68,49.7,34066.48
40,Alabama,Lee County,1081,140247,6.2,22.5,9.1,50.7,71.3,1.6,3.3,69.8,76.4,4.9,6.6,85.2,30.9,9711,20.3,62391,64.2,23.3,139500.0,54016,2.41,22794,40894,19.2,2431,37367,971,607.54,230.8,130178.56000000001
41,Alabama,Limestone County,1083,82782,6.5,24.0,12.3,49.4,80.3,1.8,5.5,78.7,85.8,3.5,5.7,80.4,20.8,6720,25.0,34977,77.1,9.4,122300.0,30028,2.52,24007,46682,13.5,1274,15993,138,559.94,147.8,75670.56
42,Alabama,Lowndes County,1085,11299,6.6,24.2,14.6,53.2,25.3,0.5,0.8,25.1,91.4,0.3,0.8,73.4,12.7,772,35.4,5140,75.4,7.0,64000.0,4205,2.76,16524,29714,27.3,127,2320,3,715.91,15.8,11605.8
43,Alabama,Macon County,1087,21452,5.4,20.6,14.1,54.2,15.5,1.1,1.1,15.2,81.1,0.5,2.8,78.8,20.9,2165,22.8,10259,68.0,15.5,79200.0,7969,2.33,16380,27544,27.4,216,6433,5,608.89,35.2,18567.77
44,Alabama,Madison County,1089,334811,6.2,23.7,12.2,50.9,68.2,2.5,4.6,66.1,83.1,5.5,6.7,87.8,37.4,33909,20.8,146447,70.4,21.4,155600.0,126564,2.49,29918,55851,12.0,8143,154144,2137,801.59,417.7,315144.36000000004
45,Alabama,Marengo County,1091,21027,6.2,24.7,16.3,52.9,46.4,0.8,1.7,45.7,87.9,0.3,0.9,79.7,17.9,1669,21.1,10237,73.5,8.3,79000.0,8494,2.46,18323,32940,22.7,495,5963,32,976.88,21.5,20895.239999999998
46,Alabama,Marion County,1093,30776,5.6,21.7,18.3,50.3,93.6,1.1,2.1,92.6,87.8,1.5,2.8,71.0,8.8,2534,23.7,14737,75.8,10.9,74700.0,12744,2.34,19030,32769,17.8,531,7378,7,742.29,41.5,29820.96
47,Alabama,Marshall County,1095,93019,7.0,25.0,14.9,50.7,87.6,1.7,12.1,83.9,84.2,7.4,10.2,73.7,14.5,7612,24.4,40342,72.5,9.3,101300.0,34433,2.62,19875,37661,19.9,1886,29951,53,565.84,164.4,90214.46
48,Alabama,Mobile County,1097,412992,6.8,25.1,12.9,52.0,60.2,1.5,2.4,59.1,85.7,3.2,4.8,82.3,19.8,35780,24.1,178196,68.4,17.7,120700.0,153302,2.61,21548,40996,19.2,9016,150599,1026,1229.44,335.9,400118.22
49,Alabama,Monroe County,1099,23068,6.0,25.3,15.7,51.8,55.1,1.4,1.0,54.7,91.3,1.3,2.3,75.4,11.2,1409,23.4,11333,73.8,6.0,80400.0,9191,2.51,17652,30235,25.4,401,6412,1,1025.68,22.5,23069.41
50,Alabama,Montgomery County,1101,229363,6.9,24.5,12.0,52.4,39.5,1.3,3.6,38.4,79.6,3.9,5.4,84.7,30.5,20711,19.7,101641,63.2,22.4,121000.0,88772,2.46,24622,43725,18.9,5762,104319,671,784.25,292.5,218379.12
51,Alabama,Morgan County,1103,119490,6.3,24.0,14.1,50.7,79.8,2.0,7.7,77.5,86.1,5.1,6.7,80.8,19.1,10210,22.9,51193,73.1,13.7,115300.0,46375,2.5,23090,44349,15.0,2718,43314,165,579.34,206.3,115937.5
52,Alabama,Perry County,1105,10591,6.4,24.1,16.7,53.0,30.3,0.4,1.1,29.7,87.3,0.1,0.9,71.5,13.3,591,29.1,4737,67.8,11.4,61000.0,3828,2.55,13433,25950,28.8,126,1519,0,719.66,14.7,9761.4
53,Alabama,Pickens County,1107,19746,6.0,23.3,16.9,52.3,56.3,1.2,1.6,55.8,93.2,0.5,1.5,78.7,11.5,1771,29.9,9483,74.1,10.1,81100.0,8008,2.46,16278,28280,26.9,286,2931,4,881.41,22.4,19699.68
54,Alabama,Pike County,1109,32899,5.6,20.3,12.8,52.3,58.2,1.5,2.2,57.4,77.9,3.9,5.7,79.4,23.7,2341,19.5,15267,56.3,18.7,93900.0,13013,2.38,19013,29181,28.6,643,10775,88,672.09,48.9,30970.94
55,Alabama,Randolph County,1111,22913,6.0,23.9,17.0,51.5,76.5,1.1,2.8,75.4,85.6,1.5,2.9,71.6,12.2,1778,26.9,11982,75.9,4.8,88100.0,8529,2.59,19844,34593,21.5,367,3610,0,580.55,39.5,22090.11
56,Alabama,Russell County,1113,52947,7.6,25.5,12.7,52.2,53.7,2.1,3.7,52.1,78.9,1.5,3.7,76.9,11.9,5360,22.3,24595,62.3,17.8,93300.0,20174,2.53,17415,32481,23.3,851,11030,934,641.14,82.6,51040.219999999994
57,Alabama,St. Clair County,1115,83593,6.6,23.7,13.1,49.9,88.2,1.3,2.1,87.3,85.7,1.9,2.8,79.3,14.5,7217,30.1,35541,82.2,5.5,126500.0,29574,2.64,22192,48837,10.6,1230,13181,111,631.9,132.3,78075.36
58,Alabama,Shelby County,1117,195085,6.7,25.6,10.6,51.0,83.0,1.4,5.9,80.2,85.0,5.6,7.5,91.5,39.6,14211,29.0,80970,80.6,11.4,193900.0,71759,2.59,33978,68380,7.4,4900,76171,473,784.93,248.5,185855.81
59,Alabama,Sumter County,1119,13763,5.5,22.3,15.0,54.5,24.2,0.3,0.6,24.0,88.2,0.1,0.5,75.4,12.8,706,23.8,6786,68.3,14.5,66300.0,4952,2.77,14460,25338,34.8,220,2986,5,903.89,15.2,13717.04
60,Alabama,Talladega County,1121,82291,6.0,23.4,14.1,51.3,65.3,1.3,2.0,64.5,84.5,1.9,2.5,75.7,11.9,7080,24.6,37088,73.0,9.6,87000.0,31151,2.52,18713,36948,18.4,1317,21858,116,736.78,111.7,78500.52
61,Alabama,Tallapoosa County,1123,41616,5.8,22.2,17.3,51.5,69.9,1.0,2.5,69.3,84.3,1.5,2.7,76.1,15.7,3829,23.7,22111,73.3,8.9,91300.0,16282,2.51,22542,36904,17.5,782,11868,9,716.52,58.1,40867.82
62,Alabama,Tuscaloosa County,1125,194656,6.0,21.5,10.8,51.5,66.3,1.1,3.1,65.0,79.7,3.3,5.9,84.7,26.2,12396,20.3,84872,63.3,25.4,148400.0,69175,2.61,22546,42311,19.7,4055,70373,598,1321.76,147.3,180546.75
63,Alabama,Walker County,1127,67023,5.8,22.5,16.3,51.3,91.2,1.2,2.0,90.4,87.9,1.1,1.4,75.5,9.7,5535,28.8,30816,77.7,6.6,83600.0,25800,2.6,20516,37191,18.6,1357,15960,15,791.19,84.7,67080.0
64,Alabama,Washington County,1129,17581,6.0,25.5,14.7,50.8,65.5,1.2,0.9,65.2,91.9,0.5,0.9,78.0,9.3,957,32.1,8407,83.0,2.6,85200.0,6672,2.58,18824,36431,19.7,233,3056,1,1080.21,16.3,17213.760000000002
65,Alabama,Wilcox County,1131,11670,6.1,27.0,15.0,52.7,26.8,0.4,0.6,26.6,90.2,0.3,0.7,68.5,13.2,390,25.0,5649,76.8,6.0,54200.0,3732,3.02,12573,23491,38.5,212,2012,0,888.5,13.1,11270.64
66,Alabama,Winston County,1133,24484,5.4,21.6,17.7,50.9,95.6,1.4,2.6,94.9,84.4,1.5,2.0,69.3,11.1,1871,25.2,13469,73.8,6.1,83700.0,9478,2.53,18055,33685,20.6,461,6622,0,612.98,39.9,23979.339999999997
67,Alaska,Aleutians East Borough,2013,3141,3.9,11.8,4.9,33.4,21.0,4.9,12.3,13.5,60.7,72.2,80.7,64.1,9.6,59,4.3,747,59.2,11.8,121600.0,267,2.75,22279,54375,10.4,59,0,0,6981.94,0.4,734.25
68,Alaska,Aleutians West Census Area,2016,5561,3.7,14.7,3.5,33.1,36.0,5.6,13.1,31.4,69.0,54.4,64.1,70.4,9.0,484,4.6,1929,36.3,30.9,163400.0,521,2.74,29920,72917,12.6,121,4953,8,4390.28,1.3,1427.5400000000002
69,Alaska,Anchorage Municipality,2020,291826,7.5,26.0,7.2,49.2,66.0,8.1,7.6,62.6,77.0,9.2,16.3,91.9,33.0,30779,18.2,113032,61.7,35.3,269500.0,104315,2.66,34678,73004,7.9,8432,144656,480,1704.68,171.2,277477.9
70,Alaska,Bethel Census Area,2050,17013,10.6,36.5,6.1,47.7,11.1,4.2,1.1,10.9,81.9,0.6,68.7,78.4,13.9,770,7.0,5919,61.3,13.9,153400.0,4291,3.88,18584,52214,18.6,202,3471,10,40570.0,0.4,16649.079999999998
71,Alaska,Bristol Bay Borough,2060,997,4.8,22.6,8.3,45.8,48.2,16.8,2.4,47.7,77.7,0.8,3.6,90.6,15.9,103,8.7,969,56.6,13.4,171100.0,410,2.56,31260,84000,5.0,67,302,1,503.84,2.0,1049.6
72,Alaska,Denali Borough,2068,1826,6.2,22.5,7.5,45.1,89.6,4.4,2.3,88.4,85.4,4.9,4.2,95.7,27.5,155,12.8,1771,60.7,14.1,174000.0,428,2.21,42245,72500,4.6,100,522,0,12751.41,0.1,945.88
73,Alaska,Dillingham Census Area,2070,4847,9.3,32.9,7.6,47.6,18.1,9.0,2.1,17.6,85.1,1.5,35.1,82.6,20.2,206,9.2,2427,60.7,14.1,199100.0,1408,3.42,22597,60800,18.1,101,1256,0,18568.78,0.3,4815.36
74,Alaska,Fairbanks North Star Borough,2090,97581,8.1,25.6,6.5,47.2,77.0,6.8,5.8,74.1,74.7,5.1,10.9,92.9,27.1,11448,18.0,41783,59.8,26.2,206800.0,34596,2.63,30395,66598,7.6,2445,26479,42,7338.21,13.3,90987.48
75,Alaska,Haines Borough,2100,2508,5.1,19.9,13.8,49.2,83.2,5.9,1.9,82.2,90.5,0.6,1.5,94.0,33.1,324,12.9,1631,74.5,13.2,205400.0,744,2.22,27979,47981,7.2,128,590,6,2318.6,1.1,1651.68
76,Alaska,Hoonah-Angoon Census Area,2105,2150,5.8,19.7,13.4,45.8,47.2,10.2,3.6,46.2,85.7,2.3,14.4,87.6,27.9,229,9.7,1771,64.0,8.6,184200.0,1004,2.02,24932,43750,15.9,186,447,4,7524.92,0.3,2028.08
77,Alaska,Juneau City and Borough,2110,31275,6.3,23.5,8.4,49.0,69.7,9.5,5.1,67.4,78.7,6.9,10.9,95.3,34.7,2564,15.3,13055,64.0,32.2,291600.0,12005,2.52,34923,75517,6.5,1107,10800,53,2701.93,11.6,30252.6
78,Alaska,Kenai Peninsula Borough,2122,55400,6.3,23.7,11.3,47.6,84.6,5.6,3.0,82.8,81.9,3.3,10.0,92.1,22.4,5622,18.4,30578,72.7,12.0,193000.0,22303,2.35,29127,57454,9.5,1944,13155,89,16075.33,3.4,52412.05
79,Alaska,Ketchikan Gateway Borough,2130,13477,6.7,23.9,10.1,48.7,68.1,9.3,4.0,66.2,77.1,7.2,11.1,92.5,24.2,1348,14.2,6166,59.1,36.7,242500.0,5629,2.36,29520,61695,8.3,568,4686,17,4858.41,2.8,13284.439999999999
80,Alaska,Kodiak Island Borough,2150,13592,8.5,28.6,6.7,47.0,55.3,7.6,7.3,52.5,79.1,16.5,23.8,87.7,21.8,1467,13.4,5303,59.2,25.9,182100.0,4409,2.76,26413,60776,10.9,471,4177,17,6549.58,2.1,12168.839999999998
81,Alaska,Lake and Peninsula Borough,2164,1631,8.5,30.2,7.8,47.3,23.3,10.1,2.6,22.2,86.9,1.8,14.7,78.0,13.5,77,6.3,1502,75.0,2.5,156400.0,492,3.3,15161,40909,21.4,48,138,0,23652.01,0.1,1623.6
82,Alaska,Matanuska-Susitna Borough,2170,88995,7.8,28.9,7.9,48.3,84.9,6.5,3.7,82.8,83.8,3.2,5.7,91.8,20.8,9163,33.4,41329,79.2,10.1,212000.0,29361,2.81,27910,67703,9.9,1939,14869,53,24607.9,3.6,82504.41
83,Alaska,Nome Census Area,2180,9492,10.7,34.3,6.4,46.7,16.4,6.2,1.2,15.9,81.7,1.1,27.9,83.8,14.9,693,5.9,4008,56.2,17.4,144600.0,2693,3.31,20549,53899,24.6,155,2160,1,22961.76,0.4,8913.83
84,Alaska,North Slope Borough,2185,9430,7.9,23.9,4.3,37.4,33.4,5.2,2.6,32.4,82.9,3.4,48.6,73.8,13.5,489,5.4,2500,48.3,24.9,135800.0,1976,4.47,22109,68517,11.8,140,2790,12,88695.41,0.1,8832.72
85,Alaska,Northwest Arctic Borough,2188,7523,11.7,35.3,6.0,46.4,11.2,6.0,0.8,11.0,80.2,1.2,35.1,79.6,12.5,458,7.4,2707,53.7,19.4,129000.0,1802,3.88,21278,55217,19.7,70,1707,4,35572.58,0.2,6991.76
86,Alaska,Petersburg Census Area,2195,3815,6.0,23.4,11.5,48.0,71.1,8.5,3.4,69.4,86.7,2.5,6.6,95.5,27.4,455,8.5,1994,76.7,9.5,195300.0,1559,2.41,30971,62317,9.7,259,1519,5,3281.98,1.2,3757.19
87,Alaska,Prince of Wales-Hyder Census Area,2198,5559,7.5,25.6,10.1,44.8,50.4,8.5,2.3,49.6,79.5,2.4,5.0,88.4,17.8,585,14.2,2992,69.0,9.7,152100.0,2386,2.29,24193,45728,14.0,139,702,4,3922.87,1.4,5463.9400000000005
88,Alaska,Sitka City and Borough,2220,8881,7.0,23.5,11.4,49.5,65.3,9.8,4.9,63.5,80.3,7.3,11.6,92.3,29.2,920,10.1,4102,55.9,24.4,309800.0,3729,2.36,29982,62024,7.0,391,3424,13,2870.34,3.1,8800.439999999999
89,Alaska,Skagway Municipality,2230,968,5.1,15.7,9.1,48.3,91.4,4.0,2.2,90.1,72.3,14.1,20.1,95.3,32.3,98,4.6,636,59.1,27.2,253700.0,386,2.27,35536,73500,10.8,0,0,0,452.33,2.1,876.22
90,Alaska,Southeast Fairbanks Census Area,2240,7029,6.9,26.3,9.4,44.3,80.4,4.9,3.3,78.7,74.9,5.1,15.7,91.1,20.0,1096,16.6,3915,65.2,17.3,168700.0,2485,2.64,27657,59596,10.0,188,783,0,24768.81,0.3,6560.400000000001
91,Alaska,Valdez-Cordova Census Area,2261,9636,6.4,24.4,8.3,46.6,74.0,7.2,3.6,72.1,75.2,4.9,7.6,92.6,23.7,1059,14.3,6102,71.8,17.6,165800.0,3941,2.42,30703,60383,6.9,398,2729,19,34239.88,0.3,9537.22
92,Alaska,Wade Hampton Census Area,2270,7459,12.1,41.6,5.4,47.1,2.7,2.0,0.1,2.7,86.5,0.1,58.1,73.6,7.7,322,5.4,2183,64.8,4.1,80300.0,1728,4.28,11269,37955,31.4,55,556,0,17081.43,0.4,7395.84
93,Alaska,Wrangell City and Borough,2275,2369,5.4,22.0,15.8,47.6,72.6,9.4,1.6,71.7,86.4,1.9,6.3,89.6,16.2,294,13.4,1428,78.7,11.9,163700.0,996,2.35,28731,50389,8.3,0,0,0,2541.48,0.9,2340.6
94,Alaska,Yakutat City and Borough,2282,662,6.0,24.5,9.7,45.6,42.4,15.4,2.6,40.5,88.8,2.2,13.3,90.5,17.9,65,6.3,450,61.1,12.4,151900.0,257,2.48,28576,65750,4.3,31,118,2,7649.46,0.1,637.36
95,Alaska,Yukon-Koyukuk Census Area,2290,5588,7.9,27.8,10.2,45.8,22.2,5.6,1.2,21.8,82.7,0.9,19.1,79.5,11.5,466,7.7,4038,69.1,2.9,99500.0,2127,2.61,18614,33712,23.6,113,377,0,145504.79,0.0,5551.469999999999
96,Arizona,Apache County,4001,71518,8.3,31.7,11.6,50.1,23.3,2.0,5.8,20.4,90.6,1.6,61.5,72.1,10.3,4701,26.4,32514,76.3,5.2,80900.0,18859,3.61,12294,30184,34.4,482,7526,48,11197.52,6.4,68080.98999999999
97,Arizona,Cochise County,4003,131346,6.5,23.0,17.3,49.0,78.5,4.0,32.4,58.5,79.7,12.3,27.0,84.8,21.4,19851,19.5,59041,69.0,12.2,154900.0,48935,2.51,23010,44876,15.7,2373,28407,347,6165.69,21.3,122826.84999999999
98,Arizona,Coconino County,4005,134421,6.7,23.6,8.9,50.4,61.7,3.1,13.5,55.2,79.6,5.7,25.2,87.0,31.1,8457,18.0,63321,61.2,18.9,257700.0,45478,2.73,22632,49510,18.6,3634,44916,315,18618.89,7.2,124154.94
99,Arizona,Gila County,4007,53597,5.7,21.4,23.2,50.3,76.8,2.0,17.9,65.9,87.3,3.1,16.9,83.4,15.0,5942,18.9,32698,78.3,4.8,156100.0,19704,2.65,19600,37580,18.9,1086,11724,73,4757.93,11.3,52215.6
100,Arizona,Graham County,4009,37220,8.6,28.4,11.4,46.3,72.1,2.8,30.4,52.3,84.4,5.0,22.3,81.8,13.4,2904,19.6,12980,72.0,7.7,119500.0,10822,2.99,15644,41683,20.0,531,10078,80,4622.6,8.1,32357.780000000002
